instance,best_objective,solution
10_3,13098.12,"[21,30,2,8,30,14,30,9,28,3,30,4,30,13,18,30,15,30,0,11,19,30,6,12,17,22,29,30,30,26,30,30,30,10,30,15,29,14,30,15,20,14,16,30,3,5,14,6,23,5,0,15,27,6,19,14,30,30,18,25,3,6,30,15,30,10,10,17,22,11,30,11,1,18,1,22,16,30,30,11,26,8,5,11,12,20,16,19,30,5,28,8,30,30,8,3,10,24,30,0,30,2,27,8,24,30,21,23,1,25,2,25,27,30,0,5,23,23,30,30,2,30,29,29,30,4,27,30,11,3,27,10,30,8,30,29,12,17,20,27,23,20,25,30,30,19,21,11,15,9,8,28,9,19,18,26,27,18,26,30,30,12,23,6,30,15,17,8,6,13,18,28,17,30,28,30,9,1,29,30,23,26,30,13,30,1,9,24,4,30,30,27,1,30,30,1,6,9,15,20,11,10,18,30,16,29,4,9,18,30,10,29,15,2,14,5,25,30,28,1,26,16,16,13,3,28,30,9,20,30,30,12,13,21,22,23,4,24,30,30,14,30,20,2,12,16,5,27,18,18,12,26,24,30,1,24,17,12,25,30,15,4,10,26,21,5,30,30,29,26,24,24,28,30,23,0,30,30,0,19,30,12,30,30,5,0,17,25,20,15,27,30,0,4,22,13,9,1,30,9]"
11_1,9222,"[2,2,4,4,4,2,4,4,4,2,4,7,4,4,2,2,4,0,2,4,4,4,3,4,4,4,4,4,4,4,6,10,7,6,10,5,5,0,8,10,10,8,10,10,6,6,0,10,10,9,0,5,7,0,9,8,8,9,8,0,5,10,10,7,10,5,8,0,9,6,7,8,10,7,5,7,6,7,8,6,10,5,10,10,7,0,10,10,10,5,0,5,9,0,10,5,10,6,5,7,7,10,8,10,10,10,5,6,8,8,9,10,6,10,10,10,6,5,10,10,10,0,6,10,8,9,9,10,5,0,7,10,10,8,6,10,5,10,10,10,5,0,6,7,10,10,10,6,8,10,10,10,8,8,10,5,10,6,8,10,5,8,10,0,9,0,0,8,5,6,7,7,7,5,6,10,10,8,10,5,8,0,9,6,6,10,10,10,0,6,7,10,6,0,5,9,9,9,7,7,9,10,8,5,10,10,10,10,5,8,5,6,7,10,8,10,0,10,6,9,10,5,9,8,10,0,10,10,10,10,5,10,10,10,6,8,0,0,9,5,8,0,5,9,10,0,0,9,6,7,0,8,10,10,9,7,10,6,10,8,7,5,7,6,6,5,5,5,10,5,10,5,5,8,0,6,10,10,0,6,10,10,0,0,10,7,10,8,10,7,10,9,10,9,10,0,6,8,10,6]"
11_2,11531.6,"[9,6,9,8,9,6,7,9,9,6,6,6,6,9,6,3,6,6,6,6,6,6,6,9,9,9,6,3,6,6,10,2,1,7,8,0,4,7,3,1,4,3,0,4,5,4,5,2,1,3,8,10,1,0,2,3,7,5,0,8,8,4,3,1,1,2,4,1,10,2,10,10,5,8,1,8,7,3,8,2,5,10,8,2,0,10,5,10,0,0,5,4,4,7,10,10,1,5,8,1,1,0,0,4,8,7,1,4,1,10,3,10,10,10,8,4,10,3,1,8,10,10,3,10,5,7,10,0,3,8,7,10,2,3,4,10,8,7,0,10,10,7,1,3,10,0,10,3,7,4,3,2,3,10,3,5,2,0,1,10,2,2,1,4,2,5,10,4,10,2,8,7,8,1,8,10,3,3,3,10,10,8,10,3,10,8,10,7,10,8,10,0,3,4,2,7,4,10,0,10,0,5,0,5,7,10,2,7,3,5,10,5,8,10,1,10,2,5,3,1,10,10,10,0,0,1,2,7,0,7,4,2,0,2,4,5,2,4,10,2,0,2,7,10,3,7,8,0,7,10,5,8,7,5,8,5,10,5,1,2,10,7,5,5,10,8,2,0,5,3,8,7,7,5,1,8,2,5,10,1,1,8,10,3,1,0,7,10,2,10,3,2,10,5,0,7,1,5,7,4]"
11_3,11515,"[8,7,8,8,8,3,8,8,8,8,8,8,8,4,8,8,8,7,8,7,8,7,7,8,7,7,7,10,8,8,0,9,10,1,4,10,6,6,0,10,4,4,10,3,5,0,9,4,10,4,10,1,2,9,6,10,6,3,1,1,3,4,6,4,6,9,6,10,0,6,4,2,3,4,2,1,3,3,5,4,6,4,6,4,1,3,6,1,1,5,10,5,9,0,5,5,10,2,10,10,10,5,6,0,6,10,6,5,6,5,10,10,0,3,9,2,0,4,10,3,10,6,3,0,2,10,6,0,9,0,0,4,5,10,5,1,4,4,10,9,3,0,10,10,3,9,10,10,9,6,1,1,4,5,5,6,1,5,6,5,3,0,0,1,0,1,1,10,10,3,10,10,0,3,10,2,2,10,10,9,1,10,10,9,2,10,2,2,1,3,2,0,1,10,10,0,9,1,9,10,0,4,1,2,1,6,9,5,10,5,5,0,0,1,1,3,0,9,9,10,2,2,10,1,2,2,9,3,9,10,10,9,9,1,5,5,0,2,3,3,10,6,1,6,3,10,10,3,10,10,5,2,1,4,4,2,3,4,4,4,6,6,2,2,10,0,1,10,6,9,3,5,3,6,0,0,2,2,10,6,10,4,1,4,4,9,5,0,2,10,3,2,10,1,3,10,3,4,4,10]"
12_1,59949.6,"[19,24,19,11,25,28,14,6,30,10,3,15,16,30,28,8,17,30,12,5,28,28,23,30,2,21,30,3,2,30,12,26,30,19,0,24,4,18,14,30,15,1,5,6,13,12,2,13,12,23,13,17,11,8,12,30,1,7,3,29,16,22,25,5,19,8,26,8,15,29,30,4,16,4,22,27,25,30,1,23,30,27,25,30,30,19,26,23,27,21,29,17,15,2,0,30,30,11,18,14,10,16,4,24,27,6,13,30,30,3,21,29,27,7,10,26,30,22,5,18,30,30,17,0,18,25,30,29,6,6,14,17,21,10,0,10,7,16,1,11,4,22,5,14,7,13,8,12,15,24,30,30,9,30,9,30,30,30,30,30,30,30,30,20,20,30,30,30,20,9,30,30,30,9,30,30,9,30,20,30,30,30,30,30,30,9,30,30,30,30,30,30,30,30,9,9,30,30,30,30,30,30,30,20,9,9,30,30,30,30,30,30,30,30,30,30,30,9,30,30,30,30,30,30,30,30,30,30,30,30,20,30,30,30,30,30,30,30,30,30,30,20,9,20,30,30,9,30,30,30,9,9,9,9,30,9,30,9,30,9,9,30,30,30,30,9,30,9,30,30,9,30,30,30,30,9,30,30,30,9,20,30,30,9,9,20,9,9,30,20,30,20,30,30,30,30,30,30,30,30]"
12_2,62635.8,"[25,6,24,12,4,28,14,1,28,3,8,10,24,30,8,29,15,15,11,9,0,12,30,13,13,8,30,30,28,11,26,2,24,24,20,30,7,13,2,4,29,13,30,21,9,23,4,18,7,17,3,1,14,20,6,25,14,12,2,30,16,15,15,14,23,21,9,17,19,8,19,3,10,4,1,0,17,18,30,18,9,19,20,19,23,11,3,0,9,21,8,30,17,29,26,18,23,16,30,0,29,27,27,18,17,12,28,7,17,1,28,12,15,14,27,6,7,30,26,2,21,1,30,11,10,24,30,24,25,27,0,30,16,30,10,30,6,27,13,21,30,30,26,20,25,2,23,10,13,16,30,30,30,30,30,30,30,5,5,30,30,30,5,30,30,30,30,30,22,30,5,30,5,30,5,30,30,30,30,30,5,22,22,30,30,22,30,30,30,30,5,5,30,30,30,30,30,30,30,30,5,30,22,30,30,30,30,5,30,30,30,30,30,30,30,30,30,22,30,30,30,30,30,5,30,5,30,5,30,30,5,5,30,30,22,5,22,30,30,30,30,22,30,30,30,5,5,5,22,30,30,30,5,30,22,30,30,30,30,30,5,30,30,30,30,30,22,30,5,5,30,30,30,30,30,30,22,30,30,5,5,30,5,5,30,30,30,30,30,30,5,30,30,5,30,30,22,30,30,30]"
12_3,61619.8,"[30,17,1,2,8,16,30,10,19,17,24,16,24,14,30,29,7,19,24,28,5,30,30,16,30,30,11,0,28,30,29,5,30,30,28,1,5,23,0,29,25,30,30,29,17,30,21,4,21,22,1,30,25,6,11,16,6,14,8,9,30,6,18,2,30,7,13,24,12,30,4,21,18,10,11,20,14,27,30,23,30,10,20,30,26,5,8,0,30,20,9,25,4,26,13,26,21,30,27,11,12,6,12,8,30,2,30,19,6,13,19,18,12,13,1,26,22,9,7,19,30,8,4,22,29,17,23,7,30,28,24,1,27,10,14,18,16,0,25,23,14,27,2,4,30,30,2,20,9,22,30,30,30,15,3,15,30,3,30,30,30,30,30,30,30,3,30,30,15,30,30,30,15,30,30,15,30,30,15,30,30,30,30,30,30,30,30,15,30,30,3,30,15,30,30,30,30,30,30,30,30,30,30,30,3,30,30,30,30,30,30,30,30,15,30,30,30,15,30,3,15,15,15,30,15,30,30,30,3,30,30,30,30,30,30,3,30,30,15,30,30,30,3,30,30,30,30,30,30,30,15,3,3,3,3,30,15,15,15,30,30,30,15,15,30,30,30,15,15,30,30,30,30,30,30,15,30,30,30,15,30,30,15,30,30,30,30,30,30,30,15,15,30,30,15,30,30,30,30,30]"
13_1,4212.1,"[30,30,30,2,18,30,2,24,30,30,7,3,30,11,30,30,30,30,30,30,30,17,30,19,30,30,30,30,30,3,21,30,30,25,30,30,30,17,30,30,30,30,30,30,9,30,30,1,30,30,30,19,30,30,30,30,13,12,30,30,30,30,10,30,2,30,16,23,30,23,30,1,30,30,0,30,26,30,4,30,27,30,30,30,30,30,30,30,14,30,30,30,30,30,9,30,30,30,30,30,30,30,30,30,30,30,15,26,30,30,30,30,28,30,4,30,30,30,30,30,30,30,30,30,27,30,30,30,8,23,30,8,18,13,30,6,30,30,6,29,30,30,30,25,30,11,5,30,30,30,26,14,30,30,30,12,30,30,30,30,30,6,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25,30,30,30,15,20,30,24,30,30,8,7,30,30,15,30,30,30,30,30,30,30,30,30,30,30,30,16,30,30,30,30,30,30,20,30,30,7,30,30,30,30,30,30,30,30,30,30,30,30,5,30,28,30,30,30,30,30,30,19,30,30,30,20,30,1,29,30,30,30,30,30,30,30,30,30,30,21,30,30,30,22,30,27,30,30,30,30,0,30,30,22,12,30,30,30,30,30,30,30,30,30,30,30,30,30,16,30,7,30,10,30,30,30,30,30,30,30,26,21,30,30,17,11]"
13_2,4149.6,"[19,30,30,30,28,30,30,25,30,30,30,18,30,30,30,1,30,30,14,30,30,22,30,26,6,30,0,30,30,30,30,30,30,30,30,30,12,30,30,12,30,30,13,30,30,24,30,4,30,30,30,18,5,30,30,30,30,30,30,30,5,30,27,8,30,30,20,16,12,21,30,30,30,23,30,25,21,30,19,30,30,30,30,30,10,30,30,30,27,30,19,30,7,30,30,14,8,17,9,30,26,30,30,30,20,30,22,30,30,30,30,30,30,3,30,9,28,30,30,30,30,15,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,11,30,30,30,30,30,9,30,30,30,30,13,1,30,30,30,30,25,25,30,10,30,30,30,30,0,16,30,30,30,8,30,30,30,30,30,30,30,0,22,30,30,30,30,30,30,30,10,30,30,17,30,30,30,24,30,29,30,30,30,30,30,30,30,2,30,30,30,30,3,29,11,30,2,15,30,30,30,30,30,30,30,30,15,30,30,30,30,30,30,30,21,30,30,30,30,30,30,30,30,30,4,30,30,30,30,30,30,30,30,30,30,11,10,30,30,30,26,30,30,30,18,30,30,30,30,30,6,30,30,30,30,30,30,3,30,23,7,30,30,30,30,30,30,30,30,27,30,30,30,30,30,28,30,30,30,30,30,2,30,30,30,4]"
13_3,4737.6,"[30,30,30,30,24,30,30,30,14,10,1,30,30,12,30,30,27,30,11,30,30,3,30,25,30,30,30,30,6,30,30,30,5,30,19,30,30,30,30,30,7,23,30,16,30,13,30,30,30,3,30,30,17,13,12,30,30,12,30,26,26,30,23,5,30,28,30,30,30,30,30,30,30,30,11,9,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,21,30,30,30,30,20,30,30,30,30,19,30,30,30,30,8,30,30,30,28,22,30,16,30,30,30,30,30,30,30,30,30,30,21,30,0,30,12,30,30,1,30,30,30,30,30,30,30,4,30,3,30,30,15,30,30,30,25,29,15,30,9,30,10,2,30,30,30,8,15,30,30,30,30,30,30,30,17,30,30,30,0,30,30,30,30,30,30,14,30,30,30,30,4,30,30,6,30,30,30,15,30,30,5,30,30,1,17,30,30,30,9,30,30,30,24,30,27,7,30,30,30,30,24,20,30,30,30,30,30,30,6,30,30,30,30,30,30,2,6,30,30,30,29,13,30,30,30,30,30,30,30,30,30,30,30,26,21,30,30,14,30,30,30,19,30,18,30,30,30,30,30,30,30,14,30,18,29,30,30,30,30,17,30,25,18,30,30,30,0,23,10,30,22,30,30,30,7,30,30,19,30,30,30]"
14_1,26920.15,"[5,5,1,1,1,2,1,1,2,2,6,5,10,2,6,6,1,5,8,8,2,2,2,1,2,6,6,1,5,6,10,10,0,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,0,0,10,10,10,10,10,0,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,10,10,0,10,10,0,0,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,0,10,0,10,10,0,10,10,10,10,0,10,0,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,10,0,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0,0,10,10,0,10,10,10,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10]"
14_2,25980.14,"[4,0,4,6,4,0,0,10,6,0,0,3,3,6,4,3,3,0,0,0,6,4,6,6,1,4,0,3,3,4,10,10,10,10,10,10,7,10,10,7,10,10,7,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,7,10,10,7,10,10,10,7,7,10,10,10,10,7,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,7,10,10,10,10,10,10,10,7,10,10,7,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,7,10,10,10,7,10,10,7,10,10,10,7,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,7,7,10,10,10,10,7,10,10,10,10,10,10,10,10,10,7,10,10,10,10,7,10,10,10,10,10,7,10,10,7,10,10,7,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,7,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10]"
14_3,31536.06,"[6,6,0,4,8,8,4,4,6,0,8,4,0,7,3,7,0,8,8,8,6,0,0,6,0,4,6,4,6,4,10,3,10,10,10,10,10,10,3,10,10,10,10,3,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,3,3,3,10,10,3,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,3,3,3,3,10,10,10,10,10,3,10,10,10,10,10,10,10,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,3,10,3,10,3,10,10,3,3,3,10,10,10,10,3,10,10,3,10,3,10,3,10,3,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,3,10,10,3,10,10,3,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,3,10,10,10,10,10,10,10,10,3,10,10,3,10,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,3,10,10,10,3,10,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10,10,10,10,3,10,10,10,10,10,10,10,10]"
16_1,14314.7,"[26,30,30,30,30,30,22,7,10,30,30,9,29,28,21,30,30,30,30,13,30,30,30,30,30,30,30,30,21,18,30,20,17,16,30,30,30,30,30,3,30,30,30,30,30,30,26,30,19,30,30,30,30,8,30,30,30,27,13,30,30,30,18,29,30,30,29,30,30,30,30,30,6,30,30,26,30,30,26,29,11,20,30,30,0,2,18,30,30,30,29,23,30,16,30,10,30,4,30,1,30,30,30,14,30,30,11,10,30,0,30,30,9,4,30,25,28,24,30,30,30,7,17,30,9,11,30,12,9,30,30,30,19,30,15,30,30,30,30,10,30,30,30,30,10,30,30,30,9,12,5,30,30,30,10,30,2,27,21,30,30,30,30,6,30,30,30,30,8,3,0,30,30,23,30,30,13,30,30,23,30,30,30,30,30,30,30,30,30,30,30,30,14,30,30,19,22,30,30,30,30,12,24,30,30,24,30,25,30,30,30,30,30,2,14,17,30,30,30,1,30,30,20,5,14,30,30,30,30,29,30,30,23,30,30,30,23,17,30,30,30,0,8,3,30,30,30,27,30,30,30,30,30,15,28,30,6,30,30,30,30,30,0,17,24,30,29,0,10,30,30,30,30,13,30,30,30,15,30,30,30,30,30,30,30,29,11,30,30,30,19,30,30,30,30,30,30,30,24,4]"
16_2,16692.2,"[30,11,25,30,3,30,30,2,29,30,30,30,21,30,5,30,30,18,30,30,30,14,30,30,30,30,30,17,30,30,30,30,30,15,23,30,9,26,30,30,27,14,3,11,30,30,30,30,30,6,15,30,30,30,30,30,30,30,30,30,18,30,30,30,6,30,30,30,30,30,30,30,30,30,30,30,8,30,30,30,20,30,25,30,1,30,28,10,30,30,30,30,30,30,12,4,17,30,30,4,30,16,17,7,30,30,30,26,26,30,30,30,15,30,30,30,7,27,30,30,30,30,28,30,30,30,30,30,30,30,30,30,14,30,24,30,0,30,30,30,30,30,30,24,30,0,30,28,9,30,30,30,7,30,30,30,30,30,30,5,27,19,30,21,30,30,30,20,26,6,30,23,30,25,30,30,30,26,30,24,10,30,30,3,30,30,30,13,9,30,28,30,30,2,30,30,8,30,30,10,30,30,1,30,30,30,30,30,0,16,30,30,30,30,30,30,12,6,30,10,25,30,12,30,19,15,15,30,27,30,15,4,25,7,30,14,30,30,30,30,30,30,20,30,17,17,30,2,30,30,30,30,17,30,13,22,28,27,30,30,30,22,2,30,30,30,22,30,24,30,20,17,29,30,29,30,11,30,26,30,30,30,30,30,30,13,30,30,30,30,30,30,21,7,30,15,19,23,30,30]"
16_3,14340.5,"[30,30,18,30,21,30,15,5,30,30,30,30,14,30,10,22,30,16,30,30,30,30,0,30,30,20,24,30,12,3,30,20,30,30,4,1,24,27,24,30,15,30,30,30,30,30,30,30,30,29,4,30,30,27,25,30,30,0,10,30,30,30,30,30,27,10,30,4,16,26,30,30,30,30,12,30,30,30,18,11,30,12,16,17,30,1,8,30,30,30,8,10,27,30,30,23,26,30,30,23,30,23,30,9,11,16,30,30,30,30,30,30,30,10,30,21,19,30,13,18,30,30,30,23,3,30,27,30,30,26,30,30,1,30,30,30,30,30,30,6,16,30,30,30,9,21,5,6,25,30,30,29,30,30,30,0,19,7,2,30,30,30,25,30,30,2,30,25,30,11,4,30,30,25,30,30,30,30,30,30,30,28,30,30,27,30,30,10,30,15,30,30,30,30,30,2,30,30,12,30,30,30,30,30,30,30,30,13,14,2,30,12,11,30,7,30,30,30,30,30,30,30,19,30,30,30,24,8,30,18,9,30,30,30,4,30,30,30,30,22,20,14,30,30,30,30,8,14,4,22,30,30,30,1,3,28,30,30,8,30,30,30,30,30,30,7,6,6,2,30,30,12,30,30,30,30,30,30,30,30,30,17,30,11,21,4,30,30,30,30,30,30,16,30,21,30,11,30,23,6]"
17_1,4157.2,"[7,19,22,8,21,8,21,19,8,13,30,22,22,21,19,21,13,13,13,22,13,13,8,8,19,22,13,7,19,21,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,17,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,17,17,17,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,17,30,30,30,30,30,30,30,30,17,30,17,30,30,30,30,17,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,17,30,30,30,30,30,30,30,30,17,30,30,30,17,17,30,30,30,30,30,17,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30]"
17_2,3901.3,"[24,15,24,3,15,18,13,3,3,24,3,9,24,15,3,18,18,13,13,3,13,9,15,9,30,18,15,3,9,24,30,30,30,30,30,27,30,30,30,30,27,30,30,30,30,30,30,30,30,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,27,27,30,30,30,27,30,30,30,30,30,27,30,30,30,30,27,30,30,30,30,30,30,30,30,30,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,27,30,27,30,30,30,30,30,30,30,30,27,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,27,30,30,30,30,30,27,30,30,30,30,30,30,30,30,27,30,30,30,30,30,30,30,27,30,30,30,30,30,27,30,30,30,30,30,30,30,30,30,30,30,27,30,30,30,30,27,30,30,30,27,30,30,27,30,30,30,30,30,30,27,30,30,30,30,30,30,30,27,30,30,30,30,30,27,30,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,27,30,30,30,30,30,30,30,30,30,27,30,30,30,30,30]"
17_3,3767.7,"[4,22,22,2,7,7,28,28,7,7,7,2,30,22,4,4,2,4,2,25,4,22,25,25,22,7,25,7,2,25,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,17,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,17,30,30,30,30,30,30,30,30,17,30,17,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,17,17,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,17,30,30,17,30,30,30,30,30,30,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,17,30,30,30,30,30,30,30,30,30,30,30,17,30,30,30,30,17,17]"
19_1,6878.29,"[2,10,10,10,5,10,9,1,10,8,10,10,10,10,10,5,10,9,10,10,10,10,10,0,10,10,10,7,10,10,10,4,10,10,6,10,4,4,8,5,10,5,10,8,10,10,10,10,8,1,4,4,10,10,6,10,2,10,10,7,2,2,10,9,10,2,4,2,10,8,10,4,10,10,10,8,10,1,10,6,4,5,10,1,5,3,10,6,10,10,5,1,6,5,10,10,10,10,10,10,10,9,10,5,10,8,3,10,7,9,10,10,1,7,6,9,10,10,2,10,2,8,7,7,1,10,7,10,7,4,4,10,6,8,10,10,1,10,10,10,10,10,2,10,9,7,8,1,1,10,10,10,10,0,10,0,10,10,10,3,0,10,10,10,10,3,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,3,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,0,10,10,3,0,0,10,10,10,10,0,10,10,10,10,10,0,10,10,10,3,10,10,0,0,10,3,3,10,10,10,10,10,10,0,10,10,0,10,0,10,10,10,10,10,3,10,0,10,10,0,0,3,10,10,3,10,3,10,10,10,10,10,3,10,3,10,10,10,10,10,0,10,0,10,10,10,10,10,3,10,10,10,10,3,10,10,10,0,10,10,0,3]"
19_2,8044.19,"[2,3,5,2,10,3,9,6,10,10,3,10,9,8,3,10,1,4,10,6,3,3,10,4,10,10,1,10,10,10,10,9,6,5,9,10,6,2,10,10,9,10,4,1,9,2,10,10,10,10,8,10,8,10,10,10,6,4,0,3,10,9,10,5,8,1,10,6,2,10,10,3,6,10,8,10,10,2,1,10,1,10,10,8,10,1,10,9,5,10,6,2,4,10,8,10,9,10,10,10,10,4,5,10,10,10,10,10,1,10,10,10,10,10,10,9,10,3,10,10,10,10,10,10,8,10,10,9,10,9,2,10,10,2,6,10,4,5,10,10,10,5,10,4,1,10,5,10,10,10,10,10,7,0,10,10,10,10,10,10,0,0,10,10,0,10,10,10,10,7,10,10,0,0,0,10,0,10,0,10,0,10,10,0,10,0,10,0,10,10,10,0,10,10,0,10,10,7,7,10,0,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,7,7,10,10,10,10,10,10,10,7,0,10,10,0,10,10,10,10,10,10,7,7,7,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,7,10,10,10,10,0,10,10,0,0,10,10,0,10,10,0,0,10,10,10,10,10,7,7,10,7,7,7,10,10,10,10,10,0,10,10,10,10,0,10,10]"
19_3,8155.05,"[8,10,8,3,10,8,9,10,7,8,10,0,9,10,10,10,9,2,10,10,7,10,0,10,10,10,3,10,10,10,10,10,10,10,10,10,3,0,9,10,10,10,10,10,0,10,10,0,3,6,10,10,2,0,2,10,3,10,10,10,3,10,2,7,5,8,10,10,8,10,3,10,5,3,10,10,2,9,10,10,10,9,0,10,10,10,7,10,10,6,10,6,6,10,10,9,10,10,10,5,6,2,10,10,3,7,5,0,3,2,10,10,10,5,10,10,10,10,6,7,10,2,10,2,10,10,7,10,10,5,6,10,7,10,9,10,10,10,8,10,8,0,8,6,9,9,7,6,5,6,4,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,4,10,4,10,10,10,10,10,10,10,4,10,10,4,10,10,10,1,10,10,10,10,10,1,10,10,4,4,10,10,10,10,10,10,10,1,1,10,10,10,10,4,10,4,4,10,1,10,10,4,1,4,10,10,10,10,10,4,10,4,10,10,10,10,10,10,10,4,10,10,10,4,4,10,10,10,10,1,1,4,10,10,1,1,10,10,10,10,10,1,4,10,10,4,10,1,10,1,10,10,4,10,4,4,10,10,10,4,4,4,4,4,4,10,10,10,10,10,1,10,10,10,10]"
