instance,best_objective,solution
4_2,8358.3,"[10,10,10,10,10,10,4,4,10,7,9,10,10,10,10,10,10,10,0,6,10,4,10,5,2,10,10,10,10,10,10,10,10,10,4,10,10,10,10,10,10,5,10,10,7,10,10,4,0,0,6,8,10,10,10,3,0,9,9,10,3,10,10,1,0,10,10,10,7,10,3,10,2,10,4,2,0,2,10,10,6,0,10,5,10,10,8,2,5,10,10,10,10,10,1,10,1,10,2,10,10,4,10,10,10,10,10,10,3,10,0,10,10,10,1,4,2,3,10,7,10,10,10,10,0,4,10,10,10,10,10,7,10,10,0,9,7,10,10,4,5,10,10,10,3,3,5,10,10,10,4,10,7,3,10,10,10,10,0,10,5,10,8,10,4,8,10,10,10,4,10,9,9,10,10,7,7,9,6,10,10,1,10,3,10,8,2,5,0,1,1,2,3,6,10,4,0,10,10,8,9,3,10,6,10,10,9,10,9,10,10,10,8,10,5,10,8,4,5,10,10,10,10,10,1,10,10,10,10,10,6,10,2,10,1,7,6,10,8,5,2,7,10,4,10,4,10,4,1,10,10,10,7,10,10,0,9,3,0,10,1,5,4,8,7,9,1,8,10,8,10,5,10,7,10,3,3,4,6,10,10,10,10,10,1,2,8,10,6,7,10,6,10,10,8,5,7,7,1,4]"
4_3,8397.7,"[10,8,1,4,3,10,2,7,5,3,7,10,10,10,9,10,10,5,10,9,10,1,10,4,0,5,10,4,10,10,0,10,10,10,10,8,10,4,10,10,10,10,10,5,10,4,6,10,10,10,1,6,10,10,0,10,10,1,10,10,10,7,3,10,10,5,10,9,10,10,10,5,5,10,10,3,8,10,8,10,10,10,10,10,1,10,10,10,7,10,10,10,10,10,10,10,8,5,10,0,7,10,10,10,5,6,0,10,10,10,1,9,10,10,10,2,1,10,1,10,10,6,10,10,2,10,10,10,10,10,10,10,10,3,10,10,9,10,8,4,3,10,10,10,10,10,10,10,10,10,10,10,9,10,7,2,9,10,7,10,0,8,4,0,10,8,1,10,10,7,5,5,5,10,6,3,9,0,10,10,10,2,6,10,7,1,10,10,10,7,4,6,1,9,10,4,6,10,5,2,10,10,0,2,5,7,10,5,7,10,9,5,6,0,10,1,1,10,5,3,10,10,1,6,3,10,10,10,5,3,7,10,5,6,5,10,3,0,10,8,10,10,10,4,3,9,8,8,10,10,10,2,3,10,0,7,8,7,4,9,2,10,8,10,10,10,10,10,10,10,8,10,10,10,2,10,2,10,10,10,7,10,10,4,0,9,7,9,5,10,10,4,10,4,10,0,5,10,2,8]"
7_1,68165.5,"[10,6,10,1,5,10,0,0,10,9,1,7,4,5,9,5,0,10,10,5,5,10,10,8,10,10,2,10,10,10,7,10,8,3,1,5,2,10,8,10,10,10,10,2,10,9,10,6,7,0,5,10,5,1,10,10,0,1,10,0,10,10,0,9,1,8,10,2,3,10,10,10,10,10,10,5,7,10,10,10,10,8,6,6,7,10,10,2,8,3,10,4,10,2,1,10,9,5,2,10,10,7,10,8,10,1,2,6,5,10,8,1,10,7,10,3,7,6,0,4,6,10,7,8,9,2,10,0,5,4,7,4,10,10,10,0,10,8,6,2,2,10,10,2,10,10,10,6,1,5,0,0,10,10,3,10,9,8,3,7,10,10,4,1,3,8,8,10,0,10,10,10,10,10,10,10,6,7,10,2,9,9,5,6,0,10,4,9,1,9,10,10,8,5,4,3,6,10,8,10,5,1,1,3,10,5,10,9,10,10,1,10,10,2,2,7,10,5,10,1,10,10,10,10,9,10,10,10,10,10,10,0,10,4,5,6,10,10,1,10,10,6,10,1,10,2,10,0,10,6,5,8,10,0,10,3,1,6,10,9,7,10,7,2,8,10,10,3,10,3,7,1,7,6,10,10,6,5,0,0,0,10,6,7,6,1,5,5,10,1,10,3,9,3,10,10,10,8,10,4]"
7_2,65624.4,"[10,7,10,10,6,10,3,10,10,10,9,7,2,10,10,4,5,10,10,10,6,2,10,10,4,10,0,2,8,10,3,4,10,10,10,10,2,10,10,1,9,2,7,6,1,9,4,4,10,9,7,1,0,0,10,7,4,10,2,10,10,4,3,4,3,6,10,10,5,10,10,9,10,10,10,8,10,1,1,10,10,3,10,10,10,6,4,5,1,8,0,5,10,5,10,10,10,7,4,3,3,0,5,4,1,0,10,5,4,10,10,10,6,3,2,10,10,10,10,8,10,2,5,9,4,8,3,10,2,5,1,10,10,0,6,10,3,5,2,10,3,8,10,10,10,10,10,10,0,6,1,9,10,8,10,10,4,10,1,10,2,10,2,10,4,10,3,2,10,10,10,10,2,7,7,10,10,10,3,4,10,10,8,8,7,10,10,10,10,10,0,4,6,6,10,10,10,10,6,5,10,7,10,10,10,10,10,1,8,4,10,10,10,4,10,10,4,6,7,8,10,10,0,9,10,9,3,4,3,5,10,5,5,10,9,10,9,10,4,10,1,1,2,6,8,10,2,4,6,10,5,10,9,8,10,10,10,3,4,5,10,10,7,3,1,8,7,10,10,5,5,9,10,10,2,5,5,10,10,2,10,10,9,10,5,4,4,2,10,10,5,10,3,5,0,4,7,10,10,6]"
7_3,69543.1,"[10,10,6,7,10,10,10,10,10,2,10,9,8,5,1,5,0,3,0,10,10,1,3,10,9,6,7,10,5,10,10,9,10,5,3,10,2,10,7,10,3,6,5,5,9,9,7,1,8,10,3,10,6,4,10,10,10,10,0,10,10,10,9,4,2,10,4,7,8,10,10,0,10,2,10,7,10,1,1,3,9,5,10,10,10,10,0,3,8,9,10,10,10,4,10,9,10,0,7,10,7,10,10,10,7,5,9,6,2,10,1,6,1,10,10,2,10,4,10,10,10,4,10,3,8,6,6,10,6,0,10,8,8,10,10,5,1,10,10,10,9,8,10,6,4,10,2,9,7,9,2,2,10,10,4,5,6,10,10,3,10,10,7,10,9,10,8,9,6,10,10,9,10,5,10,3,10,10,6,10,10,4,5,10,1,10,3,10,1,10,10,10,0,10,10,10,10,2,10,8,10,10,4,10,10,7,5,2,9,5,10,10,4,10,10,6,8,4,9,5,10,6,10,1,3,2,10,0,2,6,10,9,3,7,10,0,1,2,10,10,4,10,4,10,4,0,4,2,9,10,9,10,10,10,1,5,5,0,10,10,2,10,10,2,10,3,10,1,10,10,6,0,2,10,8,8,1,10,2,4,10,3,3,8,2,10,2,7,10,10,10,0,6,10,6,10,10,5,3,6]"
9_1,9256.47,"[30,7,21,19,21,24,22,19,1,19,21,0,1,8,8,29,29,23,24,21,7,23,29,24,8,21,0,23,22,3,2,30,30,30,10,30,13,30,30,30,30,30,30,10,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,13,30,30,30,13,30,30,30,30,30,30,30,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,13,30,30,2,30,2,30,30,30,10,30,30,30,30,30,30,30,2,30,30,30,30,30,30,30,30,30,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2,2,30,30,2,30,30,30,30,30,30,30,30,30,30,2,30,30,30,30,30,30,2,30,30,30,30,30,13,30,30,30,30,30,30,2,2,30,30,30,30,30,30,2,30,30,30,30,10,30,30,30,30,2,30,30,30,30,10,2,30,30,30,30,30,10,30,30,2,30,30,30,30,30,13,30,30,30,30,30,30,13,30,30,30,30,30,30,30,30,30,30,30,30,30,2,30,2,30,30,30,30,30,30,30,30,30,30,30,30,2,30,30,30,30,2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10,30]"
9_2,13014.22,"[9,15,25,20,5,0,9,21,20,20,29,10,9,25,10,15,20,5,7,9,5,12,5,0,29,10,7,7,21,21,30,30,30,22,30,30,30,4,30,30,30,30,23,30,30,16,30,30,4,30,30,30,4,4,23,30,8,16,30,30,30,30,23,30,30,30,12,30,30,22,30,30,30,30,30,30,1,30,30,30,30,8,30,30,30,23,30,30,30,30,23,30,30,30,30,30,30,30,12,30,16,30,30,30,30,30,12,30,30,30,30,30,30,30,22,30,30,12,30,30,23,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,8,30,12,28,28,30,30,30,23,30,30,30,30,4,30,30,30,30,30,30,16,30,30,30,30,16,30,30,28,8,12,30,30,30,30,24,30,30,30,30,22,30,1,30,30,4,30,30,30,30,24,30,30,30,30,30,30,16,30,30,30,30,30,30,23,23,4,4,30,23,30,30,30,23,30,30,30,12,30,30,30,30,30,30,12,30,30,30,30,30,30,30,24,30,30,30,30,23,30,30,30,30,30,30,12,30,30,30,23,30,30,30,4,23,30,30,30,30,30,30,30,30,1,30,30,30,23,30,30,4,30,23,30,30,30,24,30,30,30,30,30,30,28,30,30,30,23,30,30,30,4,30,30,30,23,30,30,30,30,23,30,30,30,30]"
9_3,16411.63,"[11,20,13,16,10,20,15,17,28,15,7,16,11,2,17,11,28,10,17,10,24,2,17,24,11,13,11,16,15,11,30,30,30,30,30,30,6,5,7,30,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,25,23,30,30,29,30,30,21,30,6,30,6,30,30,30,30,6,29,29,29,30,30,30,30,30,21,30,30,30,30,30,30,30,30,30,7,30,30,29,30,30,30,29,30,30,30,30,30,29,27,3,30,30,30,30,30,23,29,30,30,30,30,30,6,30,30,30,30,6,30,23,30,21,30,30,30,29,30,30,30,30,30,3,30,21,30,30,30,30,30,30,30,30,30,30,30,12,30,29,30,30,30,30,30,30,30,30,30,30,30,5,30,30,30,12,30,30,30,30,30,30,30,30,6,30,27,30,5,30,30,30,30,30,6,30,30,30,30,30,29,30,30,30,12,30,30,30,30,30,30,30,30,30,30,30,30,30,30,23,6,29,30,30,30,30,30,25,30,30,30,30,7,30,30,30,30,7,5,30,21,25,30,30,30,6,25,30,30,30,30,29,30,30,30,30,30,30,27,30,29,6,30,30,7,30,30,30,30,6,29,27,6,23,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3,30,30,30,30,30,30,30,30,30,30,30,30,30]"
10_1,13217.02,"[4,3,30,30,11,16,10,29,2,14,0,26,12,28,23,1,8,17,7,9,21,22,13,22,30,27,18,6,5,18,26,10,30,30,28,30,30,26,30,25,3,20,20,30,16,30,30,30,20,7,30,9,17,20,5,27,8,23,30,5,26,22,5,4,10,21,28,30,8,7,18,27,2,11,13,30,30,28,5,30,13,29,10,21,29,27,28,30,4,30,18,27,8,25,2,18,30,27,30,30,30,5,30,10,18,14,2,0,15,29,15,14,30,0,30,15,15,0,16,12,29,23,15,6,26,10,30,10,30,13,30,2,30,17,0,2,9,2,30,30,25,28,30,8,7,1,25,22,26,17,22,30,18,20,30,11,20,30,10,28,1,20,2,9,27,30,30,12,0,9,6,10,30,29,6,30,30,12,16,1,28,27,8,17,15,5,7,30,3,1,18,6,30,1,2,11,3,20,30,30,13,16,20,12,30,22,22,11,1,22,30,12,17,29,10,30,30,30,3,23,28,25,12,30,26,7,0,30,26,26,15,21,30,23,30,30,1,30,11,30,21,15,30,2,4,30,30,7,0,10,30,28,7,15,0,12,26,30,1,15,30,30,30,17,27,16,12,25,16,23,30,14,30,30,21,4,3,3,29,30,30,27,14,30,27,12,16,30,30,9,30,0,13,9,18,29,20,6,8,25]"
10_2,13083.48,"[1,21,17,29,5,7,22,8,0,4,9,12,10,30,30,30,20,2,30,28,13,26,15,30,14,30,30,18,25,6,2,7,17,9,23,15,30,30,30,25,30,16,0,17,30,18,14,3,10,14,14,30,17,30,20,14,5,15,12,3,21,23,14,18,12,30,14,7,29,10,30,23,11,23,20,0,13,30,1,11,15,14,18,21,4,28,4,13,29,8,16,30,5,22,6,30,19,4,0,30,15,23,30,30,23,30,30,30,12,12,30,30,26,30,9,28,14,14,8,30,30,27,30,25,30,20,8,30,29,3,14,18,28,30,30,8,29,7,29,11,10,8,21,30,12,20,26,19,2,13,15,30,19,7,30,30,3,8,15,17,30,15,22,17,11,5,26,30,11,6,30,2,30,2,30,30,25,16,30,25,30,3,0,15,25,5,11,10,30,30,30,30,19,25,30,5,16,30,30,28,3,9,6,13,22,13,30,22,16,11,21,30,4,10,30,26,19,30,0,7,30,27,29,22,3,18,18,29,13,28,27,26,10,30,13,30,26,30,13,7,11,7,8,23,29,16,16,20,6,17,27,21,27,7,30,28,22,12,30,21,23,30,17,10,30,19,3,5,8,4,0,30,30,27,30,2,26,17,1,15,3,2,26,6,30,21,4,15,0,30,30,25,10,19,12,8,18,7,18,20]"
